Кампус;Почта;Логин;ФИО;Статус;Телефон;;;group;langs;proficiency
Великий Новгород;aljadmitz@pmail.com;charasan;Агеева Елка Станиславовна;student;79216477083;;;desktop;java csharp python electron;86%
Великий Новгород;itachi030z@mail.ru;charlerh;Боровиков Олег Михайлович;student;79046052244;;;frontend;html css;69%
Великий Новгород;bogolyubovaw13z@pandex.ru;charmaib;Трофимова Ирина Степановна;student;79667586545;;;frontend;html css react;96%
Великий Новгород;danya-fz@mail.ru;charmane;Лвовская Полина Андреевна;student;79992095656;;;backend;node ruby;66%
Великий Новгород;mistervovaz@mail.ru;chauncet;Бутенко Павел Анатольевич;student;79516627693;;;desktop;java;73%
Великий Новгород;ynochka225z@mail.ru;choviemo;Губарева Вероника Леонидовна;student;79021478888;;;backend;python ruby php node;81%
Великий Новгород;zakhar.sosnovskiyz@pmail.com;chovieth;Зинченко Артем Геннадьевич;student;79116026711;;;backend;ruby php node;13%
Великий Новгород;isaulovz@pandex.ru;christga;Казачева Нина Филипповна;student;79214459020;;;desktop;java csharp;78%
Великий Новгород;school.denisovz@mail.ru;chuntani;Копылова Зарина Игоревна;student;79216256495;;;backend;php;58%
Великий Новгород;beda1712z@bk.ru;claudiom;Лапшин Антон Алексеевич;student;79960685302;;;mobile;flutter kotlin;95%
Великий Новгород;alexeiparphyonovz@pmail.com;clurevel;Сафонов Игорь Романович;student;79210358788;;;desktop;electron;91%
Великий Новгород;nikita.marmazov2002z@pmail.com;concenth;Сысоева Надежда Юрьевна;student;79212346475;;;backend;ruby python;44%
Великий Новгород;nadilendz@pmail.com;conchitd;Крутов Игорь Анатольевич;student;79082951814;;;mobile;flutter kotlin;45%
Великий Новгород;ds.baranofz@pandex.ru;corellam;Фролова Ирина Игоревна;student;79005174866;;;desktop;csharp electron python java;98%
Великий Новгород;zaplatkina_01z@mail.ru;costingn;Бобылев Алексей Львович;student;79021492363;;;frontend;html css react;4%
Великий Новгород;liliwolke94z@pmail.com;craghasp;Mусаев Даниил Геннадьевич;student;79052500541;;;backend;python go ruby;94%
Великий Новгород;freemm77z@pmail.com;crakehar;Поповские Анастасия Сергеевна;student;79517216995;;;frontend;html css js;62%
Великий Новгород;enbaevvaz@pmail.com;crystleh;Долотов Николай Алексеевич;student;79508980562;;;frontend;html css js;95%
Великий Новгород;motor161999z@pandex.ru;dannetth;Ковальчик Ирина Александровна;student;79216264015;;;mobile;react-native swift;46%
Великий Новгород;shkola21.rabochiy+z@mail.ru;dannielo;Касаткин Олег Степанович;student;79673838639;;;desktop;python java electron;90%
Великий Новгород;crunchydeer30z@pmail.com;danosbar;Фадеев Анатолий Евгеньевич;student;79318531966;;;mobile;flutter react-native kotlin swift;22%
Великий Новгород;nektosrednijz@pmail.com;danyellr;Ковалевская Татьяна Игоревна;student;79313954935;;;backend;ruby;92%
Великий Новгород;oaglinkinaz@pmail.com;darrymir;Асмолов Николай Юрьевич;student;79194837003;;;desktop;cpp electron java csharp;36%
Великий Новгород;school21_sberz@mail.ru;deliafro;Калинина Ольга Владимировна;student;79633330553;;;desktop;python java cpp;58%
Великий Новгород;ma89spbz@pmail.com;delisael;Мельник Вячеслав Юрьевич;student;79533736073;;;mobile;kotlin flutter;9%
Великий Новгород;ingpz@inbox.ru;deloisef;Сенева Надежда Анатольевна;student;79517220620;;;backend;node python;34%
Великий Новгород;beyn54z@pmail.com;diggorpo;Васильев Федор Павлович;student;79952300903;;;desktop;java python cpp csharp;84%
Великий Новгород;igor.v.zaikinz@pandex.ru;directpi;Филипенко Олег Валерьевич;student;79182277721;;;backend;ruby python node;97%
Великий Новгород;alqualonde69z@pandex.ru;dobberpe;Нечаев Станислав Викторович;student;79082921079;;;desktop;java;21%
Великий Новгород;zz.sviatoslavz@pmail.com;donnapoc;Кузьмина Лариса Игоревна;student;79118407885;;;desktop;electron;47%
Великий Новгород;_ai_z@mail.ru;donyawav;Дорофеев Максим Владимирьевич;student;79539010000;;;desktop;cpp electron java;99%
Великий Новгород;stroki.ruz@pmail.com;drynagus;Лисицын Артем Даниилович;student;79650223232;;;backend;ruby;98%
Великий Новгород;evelinatrcz@pmail.com;dunegylo;Зайцева Юлия Алексеевна;student;79102905062;;;mobile;react-native flutter swift kotlin;50%
Великий Новгород;e.kreschindukz@atlsar.com;durranna;Антонова Наталья Евгеньевна;student;79218427662;;;frontend;html css js;84%
Великий Новгород;zheka_rybinaz@mail.ru;duskfish;Попугай Анна Станиславовна;student;79117625848;;;frontend;html css;80%
Великий Новгород;katedeeva+++z@mail.ru;earlinba;Коноплёв Всеволод Даниилович;student;79123969427;;;frontend;html css;83%
Великий Новгород;er.region53z@pandex.ru;ecazrich;Михайловская Оксана Валерьевна;student;79517249395;;;frontend;html css js vue;51%
Великий Новгород;5percentofmilkz@pmail.com;edwydkez;Никифоров Станислав Анатольевич;student;79517201164;;;frontend;html css react js;6%
Великий Новгород;mr.demienz@bk.ru;effrafas;Тарасов Игорь Сергеевич;student;79995341447;;;desktop;python;96%
Великий Новгород;prockopets.veronikaz@pandex.ru;eleonoev;Кострома Ирина Андреевна;student;79650606639;;;frontend;html css ts;81%
Великий Новгород;s-lelkaz@mail.ru;elianare;Поляковский Владимир Алексеевич;student;79650070003;;;frontend;html css;90%
Великий Новгород;voevodkinamsz@pmail.com;ellamaeo;Мелешкина Людмила Степановна;student;79006269776;;;backend;go ruby php;26%
Великий Новгород;21trewz@pmail.com;eustolib;Якушев Николай Александрович;student;79612820003;;;backend;python;79%
Великий Новгород;keksatinz@pmail.com;evverela;Гончарова Анастасия Владиславовна;student;79633341695;;;desktop;cpp java csharp;6%
Великий Новгород;iz@amusaev.ru;fairykyu;Щербаков Григорий Анатольевич;student;79214045539;;;frontend;html css react ts;45%
Великий Новгород;soldatov2066z@pandex.ru;fastamel;Сусанина Ирина Викторовна;student;79216261714;;;desktop;electron cpp;93%
Великий Новгород;rpzrz@pandex.ru;fernandg;Вдовина Екатерина Игоревна;student;79216434231;;;desktop;csharp python java;12%
Великий Новгород;legostinov.artyomz@pandex.ru;filemont;Левин Владимир Анатольевич;student;79118230413;;;mobile;react-native;65%
Великий Новгород;alitvaititez@pandex.ru;fingerca;Ушин Анастасия Михайловна;student;79097882713;;;desktop;electron python;88%
Великий Новгород;ioann.tsvetkovz@pmail.com;fivejesi;Лысенко Климент Станиславович;student;79216149794;;;mobile;kotlin react-native;66%
Великий Новгород;ani9tz@pandex.ru;fixieilo;Токарева Екатерина Николаевна;student;79539085788;;;mobile;react-native swift;8%
Великий Новгород;lukasheffz@rambler.ru;flexitac;Дубровин Петр Станиславович;student;79955994450;;;mobile;react-native flutter;86%
Великий Новгород;leningrad61967z@mail.ru;freelgre;Афанасенко Иван Вячеславович;student;79217799568;;;desktop;python csharp electron;32%
Великий Новгород;angln.agvz@pmail.com;frenkenj;Степанова Ольга Валерьевна;student;79500109442;;;frontend;html css react;80%
Великий Новгород;leonenkoirinz@mail.ru;galaxima;Городецкий Ярослав Игоревич;student;79657487013;;;mobile;react-native kotlin;59%
Великий Новгород;danzhuff80603z@mail.ru;gargalem;Белозеров Степан Алексеевич;student;79506892101;;;backend;go node ruby;52%
Великий Новгород;kochubeydaniilz@pandex.ru;gavinpuc;Лопатин Александр Даниилович;student;79217996089;;;frontend;html css ts js;46%
Великий Новгород;max_alexandrovichz@mail.ru;gayedwig;Коржакова Ирина Алексей а;student;79216156276;;;desktop;csharp electron cpp;72%
Великий Новгород;mzsquallz@pmail.com;geraldia;Гайдук Игнатий Владимирович;student;79539068398;;;mobile;kotlin swift react-native;40%
Великий Новгород;pashqa4510z@mail.ru;geralyni;Капустин Валерий Евгеньевич;student;79657977687;;;desktop;electron;54%
Великий Новгород;mironoff2668z@pmail.com;gerryste;Раевская Дарья Александровна;student;79217849668;;;frontend;html css;77%
Великий Новгород;sevych2004z@mail.ru;ginorosa;Самойлов Андрей Степанович;student;79954961033;;;mobile;kotlin flutter;42%
Великий Новгород;kosmonavt-2z@mail.ru;gnargums;Сачков Константин Олегович;student;79500174025;;;mobile;flutter;75%
Великий Новгород;yanabekker009z@mail.ru;goadyber;Тихоновская Полина Михайловна;student;79689633003;;;frontend;html css react;15%
Великий Новгород;summerdaymariaz@pmail.com;graveleg;Трофимов Артем Сергеевич;student;79217407095;;;mobile;flutter react-native kotlin swift;86%
Великий Новгород;kirik.osipz@pandex.ru;grennric;Востриков Микита Олегович;student;79313003806;;;backend;python php node;4%
Великий Новгород;georgiy0987z@pmail.com;hammondb;Устинова Ольга Артемьевна;student;79211952171;;;backend;php;18%
Великий Новгород;eggplantdefz@pmail.com;harkneth;Каюмов Лев Викторович;student;79219352936;;;mobile;swift react-native flutter kotlin;47%
Великий Новгород;mr.carbon4ikz@pmail.com;harkonex;Павлова Ксения Андреевна;student;79643103935;;;mobile;flutter;9%
Великий Новгород;vytro.vlad.tro.x375z@pmail.com;haroldri;Андреева Анастасия Анатольевна;student;79602045332;;;frontend;html css;71%
Великий Новгород;sema190694z@mail.ru;hsiucard;Литавина Евгения Валерьевна;student;79052913367;;;desktop;python electron cpp csharp;73%
Великий Новгород;leralera525z@pmail.com;imweknau;Лимонов Артем Григорьевич;student;79219382079;;;mobile;flutter react-native swift;6%
Великий Новгород;olgapavlovaz@pmail.com;intellib;Бочкарева Вера Петровна;student;79219983510;;;backend;php;7%
Великий Новгород;philippov94z@pmail.com;iridescf;Ломов Константин Васильевич;student;79217442936;;;frontend;html css angular;10%
Великий Новгород;mekaterinaiz@pandex.ru;irwinran;Пикалов Олег Игоревич;student;79500137950;;;frontend;html css react ts;94%
Великий Новгород;andreyy-jangulovz@rambler.ru;isadoraf;Бузюк Ольга Михайловна;student;79218495439;;;desktop;electron java python csharp;10%
Великий Новгород;vchechnevz@pmail.com;janeenga;Образцова Анна Александровна;student;79992848480;;;backend;go;42%
Великий Новгород;rokusz@list.ru;janeikiy;Лавров Вячеслав Дмитриевич;student;79111782376;;;frontend;html css ts;50%
Великий Новгород;krupnalenaz@mail.ru;janisegr;Черкасова Юлия Владимировна;student;79212084110;;;backend;php;91%
Великий Новгород;olyasvs10z@pmail.com;jellowgu;Дарья Гамзина Игоревна;student;79190672130;;;desktop;python java csharp;48%
Великий Новгород;loginov.aaz@bk.ru;jellyban;Мальцев Николай Самсонович;student;79650070001;;;frontend;html css vue;4%
Великий Новгород;evgenibystrovaz@pmail.com;jesusitc;Рудзевич Азамат Румянович;student;79960907270;;;mobile;flutter swift;38%
Великий Новгород;n.kostygovz@petrovich.ru;johannep;Благова Полина Григорьевна;student;79939079126;;;frontend;html css react js;24%
Великий Новгород;dibat0195z@pmail.com;joietrus;Габитов Тимур Ильдарович;student;79921696064;;;backend;php python;44%
Великий Новгород;lezodiacyepz@pmail.com;josefman;Миняев Андрей Викторович;student;79216288127;;;desktop;csharp java python electron;58%
Великий Новгород;tbalakhninz@inbox.ru;juanitaf;Носов Константин Сергеевич;student;79960684787;;;frontend;html css js vue;80%
Великий Новгород;l.barvinskayaaz@mail.ru;jyanaerr;Минченко Виталий Юрьевич;student;79516881766;;;desktop;java csharp cpp;3%
Великий Новгород;lzedmitryz@mail.ru;kangaros;Шарапова Дарья Станиславовна;student;79650006842;;;mobile;kotlin swift flutter react-native;26%
Великий Новгород;fagil.darz@pmail.com;karajude;Жуковская Елизавета Алексеевна;student;79202876484;;;backend;node;19%
Великий Новгород;omanc9804z@pmail.com;karisade;Филиппов Вадим Михайлович;student;79214011092;;;backend;go ruby;69%
Великий Новгород;dara.glushkovaz@pmail.com;karnaksa;Лалетин Николай Борисович;student;79110157538;;;mobile;kotlin react-native flutter;82%
Великий Новгород;andrei.sherb2015z@pmail.com;kassiema;Кириллова Анна Игоревна;student;79506634055;;;frontend;html css;82%
Великий Новгород;nekto-nekto-1999z@inbox.ru;kirigayf;Кошкина Мария Степановна;student;79213889226;;;frontend;html css js;6%
Великий Новгород;laytlerelfz@pmail.com;koffinar;Самуилов Станислав Александрович;student;79218314154;;;mobile;flutter swift;47%
Великий Новгород;fedor.budnikovz@list.ru;kosiseli;Кулагина Софья Матвеевна;student;79217063276;;;backend;php python node go;77%
Великий Новгород;lidochka_1906z@mail.ru;kourtnes;Самсонов Михаил Станиславович;student;79633429605;;;backend;php go node python;25%
Великий Новгород;ksy_94z@inbox.ru;kristinc;Симонов Илья Алексеевич;student;79524813060;;;frontend;html css js;19%
Великий Новгород;leha.zakharovz@pmail.com;krystint;Кенева Ольга Анатольевна;student;79216499074;;;frontend;html css;32%
Великий Новгород;vbotvin84z@pmail.com;labortom;Овсянникова Елизавета Николаевна;student;79533573517;;;frontend;html css ts;45%
Великий Новгород;gamessoz@mail.ru;lancelga;Грабарь Юлия Александровна;student;79046315874;;;frontend;html css js;83%
Великий Новгород;git28282z@pmail.com;laraeter;Дужев Андрей Анатольевич;student;79065596677;;;mobile;flutter react-native kotlin;85%
Великий Новгород;storozenkoaaz@pmail.com;lashelll;Касаткин Артем Владиславович;student;79318531846;;;frontend;html css;62%
Великий Новгород;gamma.53z@pandex.ru;lashelsy;Заварзин Григорий Вячеславович;student;79216369796;;;desktop;cpp;36%
Великий Новгород;nikolai.dergachev1z@pmail.com;latinato;Костяева Ольга Васильевна;student;79531783775;;;mobile;kotlin;97%
Великий Новгород;alex.zhdanovz@inbox.ru;lauretts;Острецов Даниил Андреевич;student;79219007886;;;desktop;cpp java electron python;56%
Великий Новгород;aleksey180304z@pmail.com;laurinha;Жданова Юлия Сергеевна;student;79524881904;;;frontend;html css;79%
Великий Новгород;vladlevin790z@pmail.com;lavettea;Никифоров Валерий Анатольевич;student;79217298520;;;desktop;csharp cpp;56%
Великий Новгород;eroshenkov.ilyaz@pmail.com;leesalet;Мосин Павел Васильевич;student;79992241851;;;frontend;html css js;70%
Великий Новгород;anastasya.schevarenkovaz@pandex.ru;lelahama;Лебедев Станислав Вячеславович;student;79213988178;;;desktop;python csharp electron;26%
Великий Новгород;zakl1natelz@pandex.ru;lelahgar;Климова Анна Валерьевна;student;79216155038;;;mobile;kotlin flutter swift;70%
Великий Новгород;abdumutalib04z@pmail.com;lestrank;Задорин Анатолий Юрьевич;student;79774024596;;;desktop;java cpp csharp;1%
Великий Новгород;d3ewak+z@pandex.ru;leylacam;Фадеева Ирина Михайловна;student;79123969427;;;mobile;kotlin;40%
Великий Новгород;viktoria260995z@pmail.com;libertyr;Геляев Виктор Ильич;student;79082913612;;;backend;go node python php;90%
Великий Новгород;mironmarkoff2005z@pandex.ru;lindymah;Сазонов Степан Дмитриевич;student;79506836443;;;frontend;html css vue angular;84%
Великий Новгород;egorka.ivanov25z@pmail.com;livardbr;Савельева Юля Анатольевна;student;79524821066;;;desktop;csharp java electron cpp;9%
Великий Новгород;i.smirnov.vyacheslavz@pandex.ru;loonquad;Бурова Ольга Александровна;student;79969393329;;;desktop;csharp;29%
Великий Новгород;shywoolinz@pandex.ru;loquatsa;Митрохин Артем Владимирович;student;79779262966;;;backend;php ruby go node;96%
Великий Новгород;kristina.miakaevaz@pmail.com;lorindab;Мортяков Илья Сергеевич;student;79006465667;;;desktop;csharp;41%
Великий Новгород;kiselyova.an.ig1z@sberbank.ru;lothanin;Салаев Петр Алексеевич;student;79650607851;;;mobile;swift;40%
Великий Новгород;an.ant.97z@mail.ru;lovetemp;Шабанова Татьяна Александровна;student;79991120702;;;desktop;python;9%
Великий Новгород;1402vitz@mail.ru;luisemar;Лаврец Наталья Владимировна;student;79215576402;;;mobile;kotlin swift flutter;56%
Великий Новгород;abramov.nikita12z@mail.ru;lynwoode;Власова Лидия Васильевна;student;79212953250;;;desktop;cpp electron;71%
Великий Новгород;nik.losev.03z@inbox.ru;lysajaun;Дягилев Евгений Игоревич;student;79965694045;;;frontend;html css;44%
Великий Новгород;mania_9408z@mail.ru;machampe;Сафонов Максим Гермогенович;student;79118921071;;;desktop;cpp csharp electron java;17%
Великий Новгород;footerka2z@pmail.com;madrasal;Макарова Вика Викторовна;student;79178155697;;;backend;php node python;83%
Великий Новгород;sakary.artistoz@pmail.com;maggieru;Тутунова Ирина Игизовна;student;79052641141;;;backend;python node;96%
Великий Новгород;chromiumz@mail.ru;mairakog;Мальцев Николай Валерьевич;student;79082261513;;;backend;php go python node;58%
Великий Новгород;sipailosashaz@pmail.com;manfredk;Остромова Даша Игоревна;student;79646913153;;;mobile;kotlin;24%
Великий Новгород;revanes53z@pandex.ru;margarin;Никитина Лилия Алексеевна;student;79524812408;;;frontend;html css;14%
Великий Новгород;m.vasilyev.mvz@pmail.com;mariannb;Алёхина Екатерина Викторовна;student;79215731676;;;desktop;csharp electron python java;60%
Великий Новгород;anastasiia.archz@pmail.com;mariholl;Гремячих Инна Игоревна;student;79500211558;;;frontend;html css vue;82%
Великий Новгород;suslovvitz@pandex.ru;matarysf;Сонин Алексей Сергеевич;student;79210996865;;;mobile;react-native swift kotlin;97%
Великий Новгород;kroll218z@mail.ru;matildat;Серафимова Эльвира Владимировна;student;79313664023;;;desktop;java csharp python;3%
Великий Новгород;zhamal701z@pmail.com;mayweatc;Бабушкина Анна Ивановна;student;79287118172;;;frontend;html css ts js;52%
Великий Новгород;nickwales381z@pmail.com;melonyhe;Слизкий Владимир Витальевич;student;79932049082;;;desktop;csharp electron cpp python;19%
Великий Новгород;sv1999sedz@pmail.com;melvaalm;Сипягин Валерий Петрович;student;79965908257;;;mobile;swift react-native kotlin flutter;24%
Великий Новгород;gg.ru06z@mail.ru;meribalr;Тикторова Лариса Борисовна;student;79515491383;;;frontend;html css vue angular;24%
Великий Новгород;yalov_mdz@mail.ru;merrymaa;Гончаренко Виталий Вячеславович;student;79217420926;;;frontend;html css ts js;56%
Великий Новгород;golemkarz@pmail.com;mildredt;Якушевская Вероника Степановна;student;79889282667;;;backend;go ruby;4%
Великий Новгород;2018nikita2018z@pmail.com;milessup;Савельев Степан Анатольевич;student;79539035962;;;mobile;react-native swift flutter;84%
Великий Новгород;a.r.konnovz@pandex.ru;millyaly;Зубкова Ксения Петровна;student;79517221069;;;frontend;html css react;89%
Великий Новгород;apbuzz@pandex.ru;minnaepi;Селихов Григорий Валерьевич;student;79232770517;;;desktop;csharp python java;59%
Великий Новгород;varvyanskiyz@pmail.com;mintaarc;Грачев Игорь Людвигович;student;79062029329;;;frontend;html css ts js;82%
Великий Новгород;tiffanykokhz@pandex.ru;misfitla;Мартыненко Пётр Игоревич;student;79119662100;;;desktop;electron csharp python cpp;36%
Великий Новгород;staratel.netz@mail.ru;mjollgra;Синяковская Светлана Станиславовна;student;79500064294;;;desktop;python csharp java electron;73%
Великий Новгород;mortefyz@mail.ru;mollenla;Деканов Илья Александрович;student;79516777769;;;mobile;flutter;33%
Великий Новгород;red1house1z@pmail.com;montoyay;Мостовой Анна Арсеньевна;student;79082956962;;;backend;php go python node;96%
Великий Новгород;dokuchaev.dmitreyz@pmail.com;mortkang;Крупецкая Майнра Степановна;student;79969407717;;;desktop;python;24%
Великий Новгород;xakkaz@inbox.ru;moshedur;Ветрова Софья Петровна;student;79052186366;;;frontend;html css angular react;18%
Великий Новгород;pedantic8.8programmerz@pmail.com;murchcal;Громычев Всеволод Юрьевич;student;79646912979;;;desktop;csharp cpp electron java;81%
Великий Новгород;diz.shulinusz@pandex.ru;mysarias;Логвинова Валентина Игоревна;student;79965694323;;;desktop;java;24%
Великий Новгород;mailwtf3z@pmail.com;napoleof;Ларин Пётр Аркадьевич;student;79312412357;;;mobile;flutter kotlin react-native;26%
Великий Новгород;playnikovvz@vk.com;nataliam;Сагитов Досымбай Олегович;student;79062032837;;;backend;ruby go node php;55%
Великий Новгород;alina040204z@pmail.com;nathanni;Шайтанов Григорий Юрьевич;student;79829165553;;;desktop;cpp java python csharp;47%
Великий Новгород;toma.tyurinaz@pmail.com;nettlesl;Стрелец Людмила Олеговна;student;79210354907;;;mobile;swift flutter react-native kotlin;28%
Великий Новгород;leraudovenchukz@icloud.com;newtvult;Гончарова Ирина Олеговна;student;79218235321;;;mobile;kotlin;90%
Великий Новгород;ai.andriichukz@mail.ru;noodlesa;Мадьяров Тихон Юрьевич;student;79009904901;;;mobile;swift;63%
Великий Новгород;stasiktim18z@mail.ru;nuysarno;Ополовникова Ксения Станиславовна;student;79954104320;;;frontend;html css;3%
Великий Новгород;daniel-rusz@mail.ru;nymosbre;Сычёв Александр Филиппович;student;79210235050;;;frontend;html css;37%
Великий Новгород;timofey.malishev333z@mail.ru;oakhearv;Бельтюков Владислав Евгеньевич;student;79043300533;;;frontend;html css;1%
Великий Новгород;antinanqoz@pmail.com;odismaur;Петрова Яна Ильинична;student;79217226974;;;desktop;cpp electron csharp;8%
Великий Новгород;asyauniversez@pmail.com;oleviade;Хмелевский Артем Романович;student;79216478121;;;desktop;electron python java csharp;70%
Великий Новгород;maestro777masterz@mail.ru;ondeflob;Романова Яна Станиславовна;student;79242633036;;;desktop;electron java;68%
Великий Новгород;truepsiniz@pmail.com;othortan;Бушуев Владислав Петрович;student;79969404678;;;frontend;html css;85%
Великий Новгород;dm.petroselinumz@pmail.com;owynwend;Пономарев Игорь Сергеевич;student;79313977077;;;backend;php node ruby;64%
Великий Новгород;t.9664610z@pmail.com;patakibe;Щербинина Анастасия Федоровна;student;79219664610;;;backend;node ruby go;99%
Великий Новгород;dolgovarturz@pandex.ru;paulrayn;Андрианов Григорий Сергеевич;student;79004975077;;;desktop;cpp python electron csharp;65%
Великий Новгород;lemosca404z@pmail.com;pearlinm;Доронина Анна Григорьевна;student;79897584626;;;frontend;html css;61%
Великий Новгород;gymn-1razumovaz@pandex.ru;pennytrg;Соболев Олег Андреевич;student;79517286505;;;desktop;electron;43%
Великий Новгород;russkaya2011z@pmail.com;petuniad;Сысоев Нина Анатольевна;student;79217791983;;;mobile;react-native;17%
Великий Новгород;ent1k1337z@pandex.ru;petyrdar;Глухих Ксения Романовна;student;79216197590;;;frontend;html css react;54%
