Кампус;Почта;Логин;ФИО;Статус;Телефон;;;group;langs;proficiency;soft_skills
Великий Новгород;artom444ftaz@pandex.ru;bernardb;Овсянникова Арина Викторовна;student;79212061413;;;desktop;csharp java;31%;Клиентоориентированность, Коммуникабельность, Эмпатия
Великий Новгород;savickijdmitrij532z@pmail.com;betseywe;Долгова Надежда Ивановна;student;79319847892;;;frontend;html css react;47%;Самосовершенствование, Клиентоориентированность, Самоорганизация
Великий Новгород;ank.daniilz@pandex.ru;blackeed;Королева Ирина Дмитриевна;student;79213719629;;;desktop;python csharp java electron;81%;Клиентоориентированность
Великий Новгород;olyamolya2005z@mail.ru;blissabb;Шевченко Павел Валерьевич;student;79222059841;;;backend;python go ruby node;46%;Организованность
Великий Новгород;vasiljev.alexeyz@pmail.com;blytheel;Сизова Виктория Олеговна;student;79216332273;;;backend;ruby php go node;76%;Креативность, Самодисциплина, Организованность, Эмоциональный интеллект
Великий Новгород;norma-83z@mail.ru;boltonth;Романова Татьяна Исаковна;student;79215774927;;;mobile;react-native flutter;59%;Самодисциплина, Настойчивость, Адаптивность, Активность
Великий Новгород;max0209z@mail.ru;breanala;Жуков Николай Степанович;student;79964057726;;;backend;node;73%;Самодисциплина, Настойчивость, Эмоциональный интеллект, Самоорганизация
Великий Новгород;numetz@bk.ru;brendanb;Смешкова Алла Петровна;student;79539046282;;;mobile;kotlin;39%;Коммуникабельность, Самоорганизация, Настойчивость, Активность
Великий Новгород;loxpc123z@pmail.com;brenetsp;Степанов Дмитрий Викторович;student;79681903037;;;mobile;kotlin flutter swift;99%;Активность, Организованность, Ответственность, Самодисциплина
Великий Новгород;tim_osokinz@mail.ru;brieryan;Зимина Татьяна Валерьевна;student;79609477656;;;backend;go python php node;77%;Самоорганизация, Активность, Ответственность, Организованность
Великий Новгород;vanya.vorobiov2010z@pandex.ru;brighlav;Коновалов Игорь Александрович;student;79500109877;;;frontend;html css;98%;Креативность, Самодисциплина, Ответственность
Великий Новгород;annetteantuannettez@pmail.com;buggkell;Черняева Надежда Борисовна;student;79062020256;;;mobile;swift react-native;75%;Организованность, Эмпатия, Эмоциональный интеллект, Клиентоориентированность
Великий Новгород;nstagitz@pandex.ru;burchmon;Яковлева Ирина Вячеславовна;student;79211122478;;;mobile;kotlin swift;61%;Активность
Великий Новгород;irinags.84z@mail.ru;burnerju;Бондаренко Василий Владимирович;student;79216039913;;;mobile;flutter kotlin;91%;Ответственность, Активность, Эмоциональный интеллект
Великий Новгород;vanahusz@mail.ru;caladanw;Васильева Ольга Артемьевна;student;79965696545;;;desktop;cpp csharp python;40%;Адаптивность
Великий Новгород;school21testuser+++z@pmail.com;calandge;Хромов Роман Александрович;student;79673838639;;;backend;ruby php;53%;Организованность
Великий Новгород;eka.art07z@pmail.com;capsicuj;Громова Любовь Сергеевна;student;79524856936;;;frontend;html css js vue;8%;Настойчивость, Самодисциплина, Самоорганизация, Эмпатия
Великий Новгород;sharashova.mariaz@pandex.ru;carmelig;Завьялова Дарья Николаевна;student;79878210454;;;frontend;html css angular;58%;Самоорганизация, Эмпатия
Великий Новгород;ntanyas2013z@pmail.com;caterpch;Кравцов Владислав Сергеевич;student;79213064854;;;frontend;html css vue;22%;Адаптивность, Креативность, Эмоциональный интеллект, Самодисциплина
Великий Новгород;kolkol1995z@pa.ru;cavalood;Щербакова Светлана Юрьевна;student;79522046740;;;mobile;swift react-native flutter kotlin;82%;Организованность, Активность
Великий Новгород;dinaxomez@pmail.com;cecillau;Кудряшов Денис Вячеславович;student;79522809678;;;desktop;electron java;22%;Настойчивость
Великий Новгород;danchuguntsevz@pmail.com;chanalon;Селиванов Семен Николаевич;student;79118092210;;;frontend;html css react;24%;Организованность, Самоорганизация, Эмпатия
Великий Новгород;mikhail.b.smirnovz@mail.ru;chandrag;Соловьев Андрей Всеволодович;student;79313209615;;;desktop;java csharp electron cpp;26%;Активность, Самодисциплина, Организованность, Настойчивость
Великий Новгород;aljadmitz@pmail.com;charasan;Агеева Елка Станиславовна;student;79216477083;;;desktop;java csharp python electron;86%;Активность, Самодисциплина, Настойчивость
Великий Новгород;itachi030z@mail.ru;charlerh;Боровиков Олег Михайлович;student;79046052244;;;frontend;html css;69%;Креативность
Великий Новгород;bogolyubovaw13z@pandex.ru;charmaib;Трофимова Ирина Степановна;student;79667586545;;;frontend;html css react;96%;Эмоциональный интеллект
Великий Новгород;danya-fz@mail.ru;charmane;Лвовская Полина Андреевна;student;79992095656;;;backend;node ruby;66%;Настойчивость, Организованность, Адаптивность
Великий Новгород;mistervovaz@mail.ru;chauncet;Бутенко Павел Анатольевич;student;79516627693;;;desktop;java;73%;Коммуникабельность, Эмоциональный интеллект, Самодисциплина, Самосовершенствование
Великий Новгород;ynochka225z@mail.ru;choviemo;Губарева Вероника Леонидовна;student;79021478888;;;backend;python ruby php node;81%;Коммуникабельность, Самодисциплина, Клиентоориентированность
Великий Новгород;zakhar.sosnovskiyz@pmail.com;chovieth;Зинченко Артем Геннадьевич;student;79116026711;;;backend;ruby php node;13%;Креативность, Клиентоориентированность, Ответственность, Организованность
Великий Новгород;isaulovz@pandex.ru;christga;Казачева Нина Филипповна;student;79214459020;;;desktop;java csharp;78%;Эмоциональный интеллект, Самоорганизация, Активность, Коммуникабельность
Великий Новгород;school.denisovz@mail.ru;chuntani;Копылова Зарина Игоревна;student;79216256495;;;backend;php;58%;Организованность, Коммуникабельность, Активность
Великий Новгород;beda1712z@bk.ru;claudiom;Лапшин Антон Алексеевич;student;79960685302;;;mobile;flutter kotlin;95%;Коммуникабельность, Адаптивность, Эмпатия
Великий Новгород;alexeiparphyonovz@pmail.com;clurevel;Сафонов Игорь Романович;student;79210358788;;;desktop;electron;91%;Ответственность
Великий Новгород;nikita.marmazov2002z@pmail.com;concenth;Сысоева Надежда Юрьевна;student;79212346475;;;backend;ruby python;44%;Активность, Ответственность, Эмоциональный интеллект
Великий Новгород;nadilendz@pmail.com;conchitd;Крутов Игорь Анатольевич;student;79082951814;;;mobile;flutter kotlin;45%;Коммуникабельность, Настойчивость
Великий Новгород;ds.baranofz@pandex.ru;corellam;Фролова Ирина Игоревна;student;79005174866;;;desktop;csharp electron python java;98%;Клиентоориентированность, Креативность, Самосовершенствование, Организованность
Великий Новгород;zaplatkina_01z@mail.ru;costingn;Бобылев Алексей Львович;student;79021492363;;;frontend;html css react;4%;Эмоциональный интеллект, Эмпатия, Клиентоориентированность
Великий Новгород;liliwolke94z@pmail.com;craghasp;Mусаев Даниил Геннадьевич;student;79052500541;;;backend;python go ruby;94%;Клиентоориентированность, Организованность
Великий Новгород;freemm77z@pmail.com;crakehar;Поповские Анастасия Сергеевна;student;79517216995;;;frontend;html css js;62%;Организованность
Великий Новгород;enbaevvaz@pmail.com;crystleh;Долотов Николай Алексеевич;student;79508980562;;;frontend;html css js;95%;Активность, Самоорганизация, Организованность, Самодисциплина
Великий Новгород;motor161999z@pandex.ru;dannetth;Ковальчик Ирина Александровна;student;79216264015;;;mobile;react-native swift;46%;Клиентоориентированность, Ответственность, Эмпатия
Великий Новгород;shkola21.rabochiy+z@mail.ru;dannielo;Касаткин Олег Степанович;student;79673838639;;;desktop;python java electron;90%;Адаптивность, Креативность, Настойчивость
Великий Новгород;crunchydeer30z@pmail.com;danosbar;Фадеев Анатолий Евгеньевич;student;79318531966;;;mobile;flutter react-native kotlin swift;22%;Адаптивность
Великий Новгород;nektosrednijz@pmail.com;danyellr;Ковалевская Татьяна Игоревна;student;79313954935;;;backend;ruby;92%;Коммуникабельность, Эмоциональный интеллект, Клиентоориентированность
Великий Новгород;oaglinkinaz@pmail.com;darrymir;Асмолов Николай Юрьевич;student;79194837003;;;desktop;cpp electron java csharp;36%;Самосовершенствование, Эмпатия, Ответственность, Адаптивность
Великий Новгород;school21_sberz@mail.ru;deliafro;Калинина Ольга Владимировна;student;79633330553;;;desktop;python java cpp;58%;Адаптивность, Ответственность, Самодисциплина
Великий Новгород;ma89spbz@pmail.com;delisael;Мельник Вячеслав Юрьевич;student;79533736073;;;mobile;kotlin flutter;9%;Эмпатия, Активность, Клиентоориентированность, Адаптивность
Великий Новгород;ingpz@inbox.ru;deloisef;Сенева Надежда Анатольевна;student;79517220620;;;backend;node python;34%;Коммуникабельность, Креативность, Самоорганизация
Великий Новгород;beyn54z@pmail.com;diggorpo;Васильев Федор Павлович;student;79952300903;;;desktop;java python cpp csharp;84%;Ответственность, Эмоциональный интеллект, Креативность, Адаптивность
Великий Новгород;igor.v.zaikinz@pandex.ru;directpi;Филипенко Олег Валерьевич;student;79182277721;;;backend;ruby python node;97%;Креативность, Настойчивость
Великий Новгород;alqualonde69z@pandex.ru;dobberpe;Нечаев Станислав Викторович;student;79082921079;;;desktop;java;21%;Самосовершенствование
Великий Новгород;zz.sviatoslavz@pmail.com;donnapoc;Кузьмина Лариса Игоревна;student;79118407885;;;desktop;electron;47%;Самодисциплина
Великий Новгород;_ai_z@mail.ru;donyawav;Дорофеев Максим Владимирьевич;student;79539010000;;;desktop;cpp electron java;99%;Самодисциплина, Эмоциональный интеллект, Ответственность
Великий Новгород;stroki.ruz@pmail.com;drynagus;Лисицын Артем Даниилович;student;79650223232;;;backend;ruby;98%;Коммуникабельность, Организованность, Клиентоориентированность
Великий Новгород;evelinatrcz@pmail.com;dunegylo;Зайцева Юлия Алексеевна;student;79102905062;;;mobile;react-native flutter swift kotlin;50%;Коммуникабельность
Великий Новгород;e.kreschindukz@atlsar.com;durranna;Антонова Наталья Евгеньевна;student;79218427662;;;frontend;html css js;84%;Эмпатия, Самодисциплина
Великий Новгород;zheka_rybinaz@mail.ru;duskfish;Попугай Анна Станиславовна;student;79117625848;;;frontend;html css;80%;Коммуникабельность, Эмоциональный интеллект, Самодисциплина
Великий Новгород;katedeeva+++z@mail.ru;earlinba;Коноплёв Всеволод Даниилович;student;79123969427;;;frontend;html css;83%;Самодисциплина
Великий Новгород;er.region53z@pandex.ru;ecazrich;Михайловская Оксана Валерьевна;student;79517249395;;;frontend;html css js vue;51%;Эмоциональный интеллект, Организованность
Великий Новгород;5percentofmilkz@pmail.com;edwydkez;Никифоров Станислав Анатольевич;student;79517201164;;;frontend;html css react js;6%;Адаптивность, Самодисциплина, Креативность, Ответственность
Великий Новгород;mr.demienz@bk.ru;effrafas;Тарасов Игорь Сергеевич;student;79995341447;;;desktop;python;96%;Самосовершенствование, Самоорганизация, Креативность, Организованность
Великий Новгород;prockopets.veronikaz@pandex.ru;eleonoev;Кострома Ирина Андреевна;student;79650606639;;;frontend;html css ts;81%;Настойчивость
Великий Новгород;s-lelkaz@mail.ru;elianare;Поляковский Владимир Алексеевич;student;79650070003;;;frontend;html css;90%;Эмпатия, Коммуникабельность, Креативность, Самодисциплина
Великий Новгород;voevodkinamsz@pmail.com;ellamaeo;Мелешкина Людмила Степановна;student;79006269776;;;backend;go ruby php;26%;Коммуникабельность, Эмпатия, Креативность
Великий Новгород;21trewz@pmail.com;eustolib;Якушев Николай Александрович;student;79612820003;;;backend;python;79%;Организованность, Адаптивность, Самодисциплина, Самосовершенствование
Великий Новгород;keksatinz@pmail.com;evverela;Гончарова Анастасия Владиславовна;student;79633341695;;;desktop;cpp java csharp;6%;Настойчивость, Организованность
Великий Новгород;iz@amusaev.ru;fairykyu;Щербаков Григорий Анатольевич;student;79214045539;;;frontend;html css react ts;45%;Самоорганизация, Коммуникабельность, Клиентоориентированность
Великий Новгород;soldatov2066z@pandex.ru;fastamel;Сусанина Ирина Викторовна;student;79216261714;;;desktop;electron cpp;93%;Эмоциональный интеллект, Клиентоориентированность, Активность
Великий Новгород;rpzrz@pandex.ru;fernandg;Вдовина Екатерина Игоревна;student;79216434231;;;desktop;csharp python java;12%;Организованность, Самосовершенствование
Великий Новгород;legostinov.artyomz@pandex.ru;filemont;Левин Владимир Анатольевич;student;79118230413;;;mobile;react-native;65%;Самоорганизация, Ответственность
Великий Новгород;alitvaititez@pandex.ru;fingerca;Ушин Анастасия Михайловна;student;79097882713;;;desktop;electron python;88%;Эмпатия, Коммуникабельность
Великий Новгород;ioann.tsvetkovz@pmail.com;fivejesi;Лысенко Климент Станиславович;student;79216149794;;;mobile;kotlin react-native;66%;Креативность, Эмоциональный интеллект
Великий Новгород;ani9tz@pandex.ru;fixieilo;Токарева Екатерина Николаевна;student;79539085788;;;mobile;react-native swift;8%;Ответственность, Самодисциплина, Клиентоориентированность, Адаптивность
Великий Новгород;lukasheffz@rambler.ru;flexitac;Дубровин Петр Станиславович;student;79955994450;;;mobile;react-native flutter;86%;Самосовершенствование
Великий Новгород;leningrad61967z@mail.ru;freelgre;Афанасенко Иван Вячеславович;student;79217799568;;;desktop;python csharp electron;32%;Коммуникабельность, Самосовершенствование
Великий Новгород;angln.agvz@pmail.com;frenkenj;Степанова Ольга Валерьевна;student;79500109442;;;frontend;html css react;80%;Клиентоориентированность, Коммуникабельность
Великий Новгород;leonenkoirinz@mail.ru;galaxima;Городецкий Ярослав Игоревич;student;79657487013;;;mobile;react-native kotlin;59%;Настойчивость, Самодисциплина, Самосовершенствование, Активность
Великий Новгород;danzhuff80603z@mail.ru;gargalem;Белозеров Степан Алексеевич;student;79506892101;;;backend;go node ruby;52%;Ответственность, Клиентоориентированность
Великий Новгород;kochubeydaniilz@pandex.ru;gavinpuc;Лопатин Александр Даниилович;student;79217996089;;;frontend;html css ts js;46%;Самоорганизация, Активность, Эмоциональный интеллект, Организованность
Великий Новгород;max_alexandrovichz@mail.ru;gayedwig;Коржакова Ирина Алексей а;student;79216156276;;;desktop;csharp electron cpp;72%;Самосовершенствование, Коммуникабельность, Ответственность, Настойчивость
Великий Новгород;mzsquallz@pmail.com;geraldia;Гайдук Игнатий Владимирович;student;79539068398;;;mobile;kotlin swift react-native;40%;Самосовершенствование, Организованность, Креативность, Клиентоориентированность
Великий Новгород;pashqa4510z@mail.ru;geralyni;Капустин Валерий Евгеньевич;student;79657977687;;;desktop;electron;54%;Адаптивность, Ответственность
Великий Новгород;mironoff2668z@pmail.com;gerryste;Раевская Дарья Александровна;student;79217849668;;;frontend;html css;77%;Коммуникабельность, Самодисциплина, Самоорганизация, Эмпатия
Великий Новгород;sevych2004z@mail.ru;ginorosa;Самойлов Андрей Степанович;student;79954961033;;;mobile;kotlin flutter;42%;Эмоциональный интеллект
Великий Новгород;kosmonavt-2z@mail.ru;gnargums;Сачков Константин Олегович;student;79500174025;;;mobile;flutter;75%;Активность
Великий Новгород;yanabekker009z@mail.ru;goadyber;Тихоновская Полина Михайловна;student;79689633003;;;frontend;html css react;15%;Клиентоориентированность, Настойчивость
Великий Новгород;summerdaymariaz@pmail.com;graveleg;Трофимов Артем Сергеевич;student;79217407095;;;mobile;flutter react-native kotlin swift;86%;Самоорганизация
Великий Новгород;kirik.osipz@pandex.ru;grennric;Востриков Микита Олегович;student;79313003806;;;backend;python php node;4%;Самосовершенствование, Настойчивость, Клиентоориентированность
Великий Новгород;georgiy0987z@pmail.com;hammondb;Устинова Ольга Артемьевна;student;79211952171;;;backend;php;18%;Коммуникабельность
Великий Новгород;eggplantdefz@pmail.com;harkneth;Каюмов Лев Викторович;student;79219352936;;;mobile;swift react-native flutter kotlin;47%;Коммуникабельность, Самоорганизация, Клиентоориентированность
Великий Новгород;mr.carbon4ikz@pmail.com;harkonex;Павлова Ксения Андреевна;student;79643103935;;;mobile;flutter;9%;Активность, Креативность, Самоорганизация
Великий Новгород;vytro.vlad.tro.x375z@pmail.com;haroldri;Андреева Анастасия Анатольевна;student;79602045332;;;frontend;html css;71%;Коммуникабельность, Самосовершенствование
Великий Новгород;sema190694z@mail.ru;hsiucard;Литавина Евгения Валерьевна;student;79052913367;;;desktop;python electron cpp csharp;73%;Клиентоориентированность, Эмоциональный интеллект
Великий Новгород;leralera525z@pmail.com;imweknau;Лимонов Артем Григорьевич;student;79219382079;;;mobile;flutter react-native swift;6%;Активность, Клиентоориентированность
Великий Новгород;olgapavlovaz@pmail.com;intellib;Бочкарева Вера Петровна;student;79219983510;;;backend;php;7%;Самоорганизация
Великий Новгород;philippov94z@pmail.com;iridescf;Ломов Константин Васильевич;student;79217442936;;;frontend;html css angular;10%;Самоорганизация, Адаптивность, Самодисциплина, Эмпатия
Великий Новгород;mekaterinaiz@pandex.ru;irwinran;Пикалов Олег Игоревич;student;79500137950;;;frontend;html css react ts;94%;Самодисциплина, Активность, Настойчивость, Креативность
Великий Новгород;andreyy-jangulovz@rambler.ru;isadoraf;Бузюк Ольга Михайловна;student;79218495439;;;desktop;electron java python csharp;10%;Эмпатия, Самоорганизация
Великий Новгород;vchechnevz@pmail.com;janeenga;Образцова Анна Александровна;student;79992848480;;;backend;go;42%;Коммуникабельность, Эмпатия, Организованность, Ответственность
Великий Новгород;rokusz@list.ru;janeikiy;Лавров Вячеслав Дмитриевич;student;79111782376;;;frontend;html css ts;50%;Самодисциплина, Коммуникабельность
Великий Новгород;krupnalenaz@mail.ru;janisegr;Черкасова Юлия Владимировна;student;79212084110;;;backend;php;91%;Креативность, Клиентоориентированность, Организованность
Великий Новгород;olyasvs10z@pmail.com;jellowgu;Дарья Гамзина Игоревна;student;79190672130;;;desktop;python java csharp;48%;Креативность, Эмоциональный интеллект
Великий Новгород;loginov.aaz@bk.ru;jellyban;Мальцев Николай Самсонович;student;79650070001;;;frontend;html css vue;4%;Эмпатия, Организованность, Ответственность, Самосовершенствование
Великий Новгород;evgenibystrovaz@pmail.com;jesusitc;Рудзевич Азамат Румянович;student;79960907270;;;mobile;flutter swift;38%;Самосовершенствование
Великий Новгород;n.kostygovz@petrovich.ru;johannep;Благова Полина Григорьевна;student;79939079126;;;frontend;html css react js;24%;Креативность, Настойчивость, Клиентоориентированность
Великий Новгород;dibat0195z@pmail.com;joietrus;Габитов Тимур Ильдарович;student;79921696064;;;backend;php python;44%;Эмоциональный интеллект, Клиентоориентированность
Великий Новгород;lezodiacyepz@pmail.com;josefman;Миняев Андрей Викторович;student;79216288127;;;desktop;csharp java python electron;58%;Самодисциплина
Великий Новгород;tbalakhninz@inbox.ru;juanitaf;Носов Константин Сергеевич;student;79960684787;;;frontend;html css js vue;80%;Клиентоориентированность
Великий Новгород;l.barvinskayaaz@mail.ru;jyanaerr;Минченко Виталий Юрьевич;student;79516881766;;;desktop;java csharp cpp;3%;Ответственность
Великий Новгород;lzedmitryz@mail.ru;kangaros;Шарапова Дарья Станиславовна;student;79650006842;;;mobile;kotlin swift flutter react-native;26%;Самосовершенствование
Великий Новгород;fagil.darz@pmail.com;karajude;Жуковская Елизавета Алексеевна;student;79202876484;;;backend;node;19%;Клиентоориентированность, Эмпатия, Активность
Великий Новгород;omanc9804z@pmail.com;karisade;Филиппов Вадим Михайлович;student;79214011092;;;backend;go ruby;69%;Эмпатия, Эмоциональный интеллект, Адаптивность, Активность
Великий Новгород;dara.glushkovaz@pmail.com;karnaksa;Лалетин Николай Борисович;student;79110157538;;;mobile;kotlin react-native flutter;82%;Эмпатия, Эмоциональный интеллект
Великий Новгород;andrei.sherb2015z@pmail.com;kassiema;Кириллова Анна Игоревна;student;79506634055;;;frontend;html css;82%;Адаптивность
Великий Новгород;nekto-nekto-1999z@inbox.ru;kirigayf;Кошкина Мария Степановна;student;79213889226;;;frontend;html css js;6%;Самоорганизация, Эмоциональный интеллект
Великий Новгород;laytlerelfz@pmail.com;koffinar;Самуилов Станислав Александрович;student;79218314154;;;mobile;flutter swift;47%;Эмоциональный интеллект, Самосовершенствование, Самодисциплина, Активность
Великий Новгород;fedor.budnikovz@list.ru;kosiseli;Кулагина Софья Матвеевна;student;79217063276;;;backend;php python node go;77%;Коммуникабельность, Ответственность, Самосовершенствование, Адаптивность
Великий Новгород;lidochka_1906z@mail.ru;kourtnes;Самсонов Михаил Станиславович;student;79633429605;;;backend;php go node python;25%;Адаптивность, Клиентоориентированность, Ответственность, Коммуникабельность
Великий Новгород;ksy_94z@inbox.ru;kristinc;Симонов Илья Алексеевич;student;79524813060;;;frontend;html css js;19%;Самодисциплина
Великий Новгород;leha.zakharovz@pmail.com;krystint;Кенева Ольга Анатольевна;student;79216499074;;;frontend;html css;32%;Креативность
Великий Новгород;vbotvin84z@pmail.com;labortom;Овсянникова Елизавета Николаевна;student;79533573517;;;frontend;html css ts;45%;Самодисциплина
Великий Новгород;gamessoz@mail.ru;lancelga;Грабарь Юлия Александровна;student;79046315874;;;frontend;html css js;83%;Настойчивость
Великий Новгород;git28282z@pmail.com;laraeter;Дужев Андрей Анатольевич;student;79065596677;;;mobile;flutter react-native kotlin;85%;Ответственность, Настойчивость, Креативность
Великий Новгород;storozenkoaaz@pmail.com;lashelll;Касаткин Артем Владиславович;student;79318531846;;;frontend;html css;62%;Ответственность
Великий Новгород;gamma.53z@pandex.ru;lashelsy;Заварзин Григорий Вячеславович;student;79216369796;;;desktop;cpp;36%;Самоорганизация
Великий Новгород;nikolai.dergachev1z@pmail.com;latinato;Костяева Ольга Васильевна;student;79531783775;;;mobile;kotlin;97%;Эмпатия, Самоорганизация
Великий Новгород;alex.zhdanovz@inbox.ru;lauretts;Острецов Даниил Андреевич;student;79219007886;;;desktop;cpp java electron python;56%;Коммуникабельность
Великий Новгород;aleksey180304z@pmail.com;laurinha;Жданова Юлия Сергеевна;student;79524881904;;;frontend;html css;79%;Самосовершенствование, Эмоциональный интеллект, Организованность, Самоорганизация
Великий Новгород;vladlevin790z@pmail.com;lavettea;Никифоров Валерий Анатольевич;student;79217298520;;;desktop;csharp cpp;56%;Креативность, Активность, Ответственность
Великий Новгород;eroshenkov.ilyaz@pmail.com;leesalet;Мосин Павел Васильевич;student;79992241851;;;frontend;html css js;70%;Клиентоориентированность, Креативность
Великий Новгород;anastasya.schevarenkovaz@pandex.ru;lelahama;Лебедев Станислав Вячеславович;student;79213988178;;;desktop;python csharp electron;26%;Эмпатия, Клиентоориентированность, Коммуникабельность, Организованность
Великий Новгород;zakl1natelz@pandex.ru;lelahgar;Климова Анна Валерьевна;student;79216155038;;;mobile;kotlin flutter swift;70%;Самоорганизация, Эмоциональный интеллект, Организованность, Креативность
Великий Новгород;abdumutalib04z@pmail.com;lestrank;Задорин Анатолий Юрьевич;student;79774024596;;;desktop;java cpp csharp;1%;Адаптивность, Активность
Великий Новгород;d3ewak+z@pandex.ru;leylacam;Фадеева Ирина Михайловна;student;79123969427;;;mobile;kotlin;40%;Ответственность
Великий Новгород;viktoria260995z@pmail.com;libertyr;Геляев Виктор Ильич;student;79082913612;;;backend;go node python php;90%;Эмоциональный интеллект, Коммуникабельность
Великий Новгород;mironmarkoff2005z@pandex.ru;lindymah;Сазонов Степан Дмитриевич;student;79506836443;;;frontend;html css vue angular;84%;Самоорганизация, Креативность, Адаптивность, Настойчивость
Великий Новгород;egorka.ivanov25z@pmail.com;livardbr;Савельева Юля Анатольевна;student;79524821066;;;desktop;csharp java electron cpp;9%;Эмоциональный интеллект, Эмпатия
Великий Новгород;i.smirnov.vyacheslavz@pandex.ru;loonquad;Бурова Ольга Александровна;student;79969393329;;;desktop;csharp;29%;Клиентоориентированность, Эмоциональный интеллект
Великий Новгород;shywoolinz@pandex.ru;loquatsa;Митрохин Артем Владимирович;student;79779262966;;;backend;php ruby go node;96%;Самосовершенствование, Креативность, Эмпатия, Организованность
Великий Новгород;kristina.miakaevaz@pmail.com;lorindab;Мортяков Илья Сергеевич;student;79006465667;;;desktop;csharp;41%;Эмпатия
Великий Новгород;kiselyova.an.ig1z@sberbank.ru;lothanin;Салаев Петр Алексеевич;student;79650607851;;;mobile;swift;40%;Настойчивость
Великий Новгород;an.ant.97z@mail.ru;lovetemp;Шабанова Татьяна Александровна;student;79991120702;;;desktop;python;9%;Коммуникабельность, Эмпатия, Креативность
Великий Новгород;1402vitz@mail.ru;luisemar;Лаврец Наталья Владимировна;student;79215576402;;;mobile;kotlin swift flutter;56%;Эмпатия, Ответственность
Великий Новгород;abramov.nikita12z@mail.ru;lynwoode;Власова Лидия Васильевна;student;79212953250;;;desktop;cpp electron;71%;Адаптивность, Самодисциплина
